attribute,privileged,unprivileged,n_priv,n_unpriv,recall_priv,recall_unpriv,SPD,EOD,AOD
gender,M,F,16011,12750,0.04240834426331897,0.041411764705882356,0.001331623097812644,-0.0009965795574366151,0.00017786122325098505
age_band,0-35,35+,20118,8643,0.04428869668953176,0.03656137915075784,0.006776576821809488,-0.007727317538773919,-0.0003982917534037095
disability,N,Y,25990,2771,0.04143901500577145,0.04691447130999639,-0.0035010094473850034,0.0054754563042249405,0.0009398446393625824
imd,advantaged,disadvantaged,12822,14892,0.035173919825300264,0.048751007252215955,-0.0030301355585778053,0.013577087426915692,0.005185608160463907
