attribute,privileged,unprivileged,n_priv,n_unpriv,recall_priv,recall_unpriv,SPD,EOD,AOD
gender,M,F,272,228,0.022058823529411766,0.03070175438596491,-0.003667695534397483,0.008642930856553144,0.0024155647048432673
age_band,0-35,35+,364,136,0.027472527472527472,0.022058823529411766,0.0028420226547240454,-0.005413703943115706,-0.0012430470248945957
disability,N,Y,454,46,0.02643171806167401,0.021739130434782608,-0.015790696919767908,-0.0046925876268914014,-0.010303145294661102
imd,advantaged,disadvantaged,233,247,0.017167381974248927,0.03643724696356275,0.0003776820115595769,0.019269864989313823,0.00972439581273182
