attribute,privileged,unprivileged,n_priv,n_unpriv,recall_priv,recall_unpriv,SPD,EOD,AOD
gender,M,F,16011,12750,0.029354818562238462,0.03207843137254902,0.0013633046840089078,0.002723612810310555,0.0020327074398866114
age_band,0-35,35+,20118,8643,0.03245849488020678,0.02614832812680782,0.0067112277054593925,-0.00631016675339896,0.0002704143916085096
disability,N,Y,25990,2771,0.030126971912273953,0.03464453265968964,-0.003433786753003383,0.004517560747415689,0.0004991587803123559
imd,advantaged,disadvantaged,12822,14892,0.02675089689596007,0.03444802578565673,-0.0028834952238589243,0.007697128889696658,0.0023498974088813265
