attribute,group_value,n,recall,ndcg,mrr
gender,F,12750,0.03043137254901961,0.015515436685219203,0.011029038281979459
gender,M,16011,0.026856536131409654,0.013785733985405843,0.009860061485506492
gender,__GAP(max-min)__,28761,0.003574836417609955,0.0017297026998133597,0.001168976796472966
age_band,0-35,20118,0.02942638433243861,0.014965142268585264,0.010621775966243608
age_band,35-55,8439,0.02630643441166015,0.01356517033030921,0.009732684794895956
age_band,55<=,204,0.0196078431372549,0.014705882352941176,0.0130718954248366
age_band,__GAP(max-min)__,28761,0.00981854119518371,0.001399971938276054,0.0033392106299406435
disability,N,25990,0.02804924971142747,0.014247873515429232,0.01009825207497389
disability,Y,2771,0.032118368819920605,0.017409950166319754,0.013004731544969726
disability,__GAP(max-min)__,28761,0.004069119108493134,0.003162076650890522,0.0029064794699958357
imd_binary,advantaged,12822,0.025892996412416158,0.012751053231146689,0.008836251185338692
imd_binary,disadvantaged,14892,0.031426269137792104,0.0165487300944497,0.01205222576092842
imd_binary,unknown,1047,0.017191977077363897,0.008221118892617023,0.005453222358666485
imd_binary,__GAP(max-min)__,28761,0.014234292060428207,0.008327611201832676,0.0065990034022619356
