attribute,privileged,unprivileged,n_priv,n_unpriv,recall_priv,recall_unpriv,SPD,EOD,AOD
gender,M,F,16011,12750,0.026856536131409654,0.03043137254901961,0.0014056321818063655,0.003574836417609955,0.002474920968860603
age_band,0-35,35+,20118,8643,0.02942638433243861,0.02614832812680782,0.006656276278532915,-0.0032780562056307916,0.0017428376595084068
disability,N,Y,25990,2771,0.02804924971142747,0.032118368819920605,-0.003039741472807514,0.004069119108493134,0.00047621651416567684
imd,advantaged,disadvantaged,12822,14892,0.025892996412416158,0.031426269137792104,-0.0031829292611725984,0.005533272725375946,0.0011279220515091164
