attribute,group_value,n,recall,ndcg,mrr
gender,F,12750,0.03615686274509804,0.019554835399358914,0.014530750077808902
gender,M,16011,0.03485103991006183,0.019628339530016383,0.015009720499696141
gender,__GAP(max-min)__,28761,0.001305822835036205,7.35041306574695e-05,0.0004789704218872391
age_band,0-35,20118,0.03747887463962621,0.020550413830616964,0.015421690596906821
age_band,35-55,8439,0.030809337599241617,0.017507138907981116,0.013467658659624532
age_band,55<=,204,0.024509803921568627,0.011850612098596527,0.0082380174291939
age_band,__GAP(max-min)__,28761,0.012969070718057581,0.008699801732020437,0.0071836731677129215
disability,N,25990,0.0348595613697576,0.019317393141424846,0.014609923230546547
disability,Y,2771,0.040779501984843015,0.022206585280146775,0.016555681577334412
disability,__GAP(max-min)__,28761,0.005919940615085419,0.0028891921387219285,0.0019457583467878646
imd_binary,advantaged,12822,0.030572453595382937,0.016757494061630768,0.012581704807956562
imd_binary,disadvantaged,14892,0.040290088638195005,0.022339207924955144,0.01689804156061207
imd_binary,unknown,1047,0.025787965616045846,0.015332781547523128,0.012052955534330891
imd_binary,__GAP(max-min)__,28761,0.01450212302214916,0.007006426377432016,0.004845086026281179
