attribute,privileged,unprivileged,n_priv,n_unpriv,recall_priv,recall_unpriv,SPD,EOD,AOD
gender,M,F,16011,12750,0.03147835862844295,0.03411764705882353,0.0013128610284374384,0.002639288430380582,0.0019658241171950017
age_band,0-35,35+,20118,8643,0.03419823044040163,0.02904084230012727,0.006801257597269239,-0.005157388140274357,0.0008861058753587853
disability,N,Y,25990,2771,0.03189688341669873,0.039696860339227716,-0.00331337265269311,0.007799976922528984,0.0021842535776583002
imd,advantaged,disadvantaged,12822,14892,0.027452815473405084,0.03773838302444266,-0.003008985807911549,0.010285567551037572,0.003567245179550829
