attribute,privileged,unprivileged,n_priv,n_unpriv,recall_priv,recall_unpriv,SPD,EOD,AOD
gender,M,F,272,228,0.03308823529411765,0.03508771929824561,-0.0048673878083702465,0.0019994840041279646,-0.0014755119262004623
age_band,0-35,35+,364,136,0.03296703296703297,0.03676470588235294,0.005457511630617265,0.0037976729153199745,0.004635887796791801
disability,N,Y,454,46,0.03524229074889868,0.021739130434782608,-0.015912923490591202,-0.013503160314116074,-0.01472379653583004
imd,advantaged,disadvantaged,233,247,0.034334763948497854,0.03643724696356275,0.0015448774013230096,0.002102483015064896,0.0018208331152458276
