attribute,privileged,unprivileged,n_priv,n_unpriv,recall_priv,recall_unpriv,SPD,EOD,AOD
gender,M,F,6,4,0.0,0.0,-0.0029670049299194284,0.0,-0.001496641477749791
age_band,0-35,35+,7,3,0.0,0.0,-0.010111948694869484,0.0,-0.005107604017216643
disability,N,Y,9,1,0.0,0.0,-0.04087163683255743,0.0,-0.02064102564102564
imd,advantaged,disadvantaged,6,3,0.0,0.0,0.03201320132013201,0.0,0.016170033670033668
