attribute,privileged,unprivileged,n_priv,n_unpriv,recall_priv,recall_unpriv,SPD,EOD,AOD
gender,M,F,274,226,0.040145985401459854,0.048672566371681415,-0.001925193437485373,0.008526580970221562,0.0032438196277816064
age_band,0-35,35+,362,138,0.03867403314917127,0.057971014492753624,0.010570855635191827,0.019296981343582355,0.014888319156457917
disability,N,Y,450,50,0.042222222222222223,0.06,0.00422638862059696,0.017777777777777774,0.010930790138707899
imd,advantaged,disadvantaged,221,260,0.05429864253393665,0.03461538461538462,0.00041512665177992347,-0.019683257918552036,-0.009528460833088167
