attribute,group_value,n,recall,ndcg,mrr
gender,F,12750,0.03403921568627451,0.01882124857040038,0.014285122938064113
gender,M,16011,0.02891761913684342,0.016592998995649064,0.012893318383294026
gender,__GAP(max-min)__,28761,0.0051215965494310865,0.002228249574751314,0.0013918045547700875
age_band,0-35,20118,0.0324087881499155,0.018314706144991824,0.014097459907182544
age_band,35-55,8439,0.02867638345775566,0.01604447022417527,0.012269329661793223
age_band,55<=,204,0.014705882352941176,0.008759234045006937,0.006944444444444445
age_band,__GAP(max-min)__,28761,0.01770290579697432,0.009555472099984887,0.007153015462738099
disability,N,25990,0.030896498653328202,0.017330863305718557,0.013276137952936721
disability,Y,2771,0.03392277156261277,0.019925041095747636,0.01570675304886781
disability,__GAP(max-min)__,28761,0.0030262729092845712,0.00259417779002908,0.0024306150959310883
imd_binary,advantaged,12822,0.02792076119170176,0.015614986728358373,0.011921319507889466
imd_binary,disadvantaged,14892,0.034716626376578026,0.019689612337410657,0.015210734217583533
imd_binary,unknown,1047,0.021012416427889206,0.011660324195044394,0.008783978411485574
imd_binary,__GAP(max-min)__,28761,0.01370420994868882,0.008029288142366264,0.0064267558060979585
