attribute,privileged,unprivileged,n_priv,n_unpriv,recall_priv,recall_unpriv,SPD,EOD,AOD
gender,M,F,272,228,0.025735294117647058,0.03070175438596491,-0.00309517944248959,0.004966460268317853,0.0008863429391296161
age_band,0-35,35+,364,136,0.03021978021978022,0.022058823529411766,0.0028419701581441914,-0.008160956690368454,-0.0026022320511281324
disability,N,Y,454,46,0.028634361233480177,0.021739130434782608,-0.016286822184588344,-0.006895230798697569,-0.011643485873045319
imd,advantaged,disadvantaged,233,247,0.017167381974248927,0.04048582995951417,0.0006682319068033529,0.023318447985265243,0.011874160766315794
