attribute,privileged,unprivileged,n_priv,n_unpriv,recall_priv,recall_unpriv,SPD,EOD,AOD
gender,M,F,16011,12750,0.02891761913684342,0.03403921568627451,0.0014937071303563962,0.0051215965494310865,0.0032851303970098927
age_band,0-35,35+,20118,8643,0.0324087881499155,0.028346638898530604,0.006965652480276738,-0.004062149251384893,0.0015110962583566347
disability,N,Y,25990,2771,0.030896498653328202,0.03392277156261277,-0.0031568743790041445,0.0030262729092845712,-9.879853969327161e-05
imd,advantaged,disadvantaged,12822,14892,0.02792076119170176,0.034716626376578026,-0.002884356101861864,0.006795865184876265,0.0019036025918894514
