attribute,privileged,unprivileged,n_priv,n_unpriv,recall_priv,recall_unpriv,SPD,EOD,AOD
gender,M,F,273,227,0.03296703296703297,0.030837004405286344,0.0010568961854212425,-0.002130028561746624,-0.0005240247186760177
age_band,0-35,35+,352,148,0.03409090909090909,0.02702702702702703,0.006331083248612104,-0.00706388206388206,-0.0002967686413693771
disability,N,Y,453,47,0.033112582781456956,0.02127659574468085,-0.011650345705299964,-0.011835987036776106,-0.01174395715138877
imd,advantaged,disadvantaged,227,258,0.022026431718061675,0.04263565891472868,0.0004559162202949288,0.020609227196667006,0.010427276769358387
