attribute,privileged,unprivileged,n_priv,n_unpriv,recall_priv,recall_unpriv,SPD,EOD,AOD
gender,M,F,16011,12750,0.03766160764474424,0.03882352941176471,0.001436074248588659,0.0011619217670204712,0.0012979832828763117
age_band,0-35,35+,20118,8643,0.04031215826622925,0.03320606270970728,0.006759414457491092,-0.007106095556521967,-9.94167597321502e-05
disability,N,Y,25990,2771,0.03766833397460562,0.04294478527607362,-0.0031227827832989302,0.005276451301468005,0.0010322266104395676
imd,advantaged,disadvantaged,12822,14892,0.032522227421619095,0.04371474617244158,-0.002903279653991335,0.011192518750822486,0.004069696578836709
