attribute,privileged,unprivileged,n_priv,n_unpriv,recall_priv,recall_unpriv,SPD,EOD,AOD
gender,M,F,270,230,0.05925925925925926,0.06086956521739131,0.005869754111826997,0.0016103059581320453,0.003762825563910263
age_band,0-35,35+,350,150,0.06857142857142857,0.04,0.010265317493816997,-0.028571428571428574,-0.008949567642457034
disability,N,Y,460,40,0.06304347826086956,0.025,-0.0008574094172747668,-0.03804347826086956,-0.01925473571169151
imd,advantaged,disadvantaged,225,260,0.057777777777777775,0.06153846153846154,-0.001016713585343429,0.0037606837606837668,0.001346820099945252
