attribute,privileged,unprivileged,n_priv,n_unpriv,recall_priv,recall_unpriv,SPD,EOD,AOD
gender,M,F,272,228,0.025735294117647058,0.021929824561403508,-0.003280612535084,-0.00380546955624355,-0.0035486454463116955
age_band,0-35,35+,364,136,0.02197802197802198,0.029411764705882353,0.003242715924557514,0.007433742727860373,0.005315576877778899
disability,N,Y,454,46,0.024229074889867842,0.021739130434782608,-0.014070777102099329,-0.0024899444550852343,-0.008344849519222514
imd,advantaged,disadvantaged,233,247,0.02145922746781116,0.02834008097165992,0.0011821318384876572,0.006880853503848761,0.004001617665958766
