attribute,privileged,unprivileged,n_priv,n_unpriv,recall_priv,recall_unpriv,SPD,EOD,AOD
gender,M,F,284,216,0.05985915492957746,0.027777777777777776,-0.0041157777237881416,-0.032081377151799685,-0.017953997958907283
age_band,0-35,35+,339,161,0.05309734513274336,0.031055900621118012,0.004848319863330945,-0.02204144451162535,-0.008454638309140812
disability,N,Y,446,54,0.042600896860986545,0.07407407407407407,-0.009578214386491923,0.031473177213087525,0.010734313407814406
imd,advantaged,disadvantaged,231,254,0.03463203463203463,0.05905511811023622,-0.007042779199340911,0.024423083478201588,0.008523507183019429
