attribute,privileged,unprivileged,n_priv,n_unpriv,recall_priv,recall_unpriv,SPD,EOD,AOD
gender,M,F,272,228,0.03676470588235294,0.03070175438596491,-0.005395334233522467,-0.006062951496388032,-0.005731333263950429
age_band,0-35,35+,364,136,0.03021978021978022,0.04411764705882353,0.0046173388678727514,0.013897866839043312,0.00920841964143315
disability,N,Y,454,46,0.03524229074889868,0.021739130434782608,-0.015203959768302078,-0.013503160314116074,-0.014365755144852943
imd,advantaged,disadvantaged,233,247,0.030042918454935622,0.04048582995951417,0.0012218547489552256,0.010442911504578548,0.005783908573215325
