attribute,group_value,n,recall,ndcg,mrr
gender,F,12750,0.03364705882352941,0.01792412310429141,0.013182882041705571
gender,M,16011,0.031540815689213665,0.017230682709881064,0.012933171936357245
gender,__GAP(max-min)__,28761,0.0021062431343157467,0.0006934403944103447,0.00024971010534832576
age_band,0-35,20118,0.03424793717069291,0.018215591051898974,0.013402157429893785
age_band,35-55,8439,0.028794880910060435,0.016191054009803516,0.012371745316999494
age_band,55<=,204,0.00980392156862745,0.00644835723914573,0.0055147058823529415
age_band,__GAP(max-min)__,28761,0.02444401560206546,0.011767233812753245,0.007887451547540843
disability,N,25990,0.031781454405540595,0.017240870014001895,0.012870243133806043
disability,Y,2771,0.03897509924215085,0.02032580973789678,0.01467237201629118
disability,__GAP(max-min)__,28761,0.007193644836610252,0.0030849397238948834,0.0018021288824851371
imd_binary,advantaged,12822,0.026828887849009515,0.014301362077649952,0.010544593493821385
imd_binary,disadvantaged,14892,0.0381412839108246,0.02066732306154999,0.01541221130765853
imd_binary,unknown,1047,0.021012416427889206,0.012667804064365856,0.009964979305953518
imd_binary,__GAP(max-min)__,28761,0.017128867482935396,0.007999518997184133,0.005447232001705011
