attribute,privileged,unprivileged,n_priv,n_unpriv,recall_priv,recall_unpriv,SPD,EOD,AOD
gender,M,F,16011,12750,0.021735057148210606,0.02807843137254902,0.0014175730735091,0.006343374224338415,0.003850117316653124
age_band,0-35,35+,20118,8643,0.025698379560592503,0.021867407150295035,0.006878253105925734,-0.003830972410297468,0.0015816663071626744
disability,N,Y,25990,2771,0.024509426702577913,0.024900757849151932,-0.0031640795097965593,0.0003913311465740185,-0.0014066033981476253
imd,advantaged,disadvantaged,12822,14892,0.0219154578068944,0.027262959978511952,-0.002975852747465202,0.0053475021716175505,0.00114039090047836
