attribute,privileged,unprivileged,n_priv,n_unpriv,recall_priv,recall_unpriv,SPD,EOD,AOD
gender,M,F,6,4,0.0,0.0,-0.006304371085487599,0.0,-0.003182199832073889
age_band,0-35,35+,7,3,0.0,0.0,-0.005850585058505851,0.0,-0.0029555236728837884
disability,N,Y,9,1,0.0,0.0,-0.04856512141280353,0.0,-0.024526198439241916
imd,advantaged,disadvantaged,6,3,0.0,0.0,0.03033003300330034,0.0,0.01531986531986532
