attribute,privileged,unprivileged,n_priv,n_unpriv,recall_priv,recall_unpriv,SPD,EOD,AOD
gender,M,F,16011,12750,0.031540815689213665,0.03364705882352941,0.0013324245089373563,0.0021062431343157467,0.001711943529670041
age_band,0-35,35+,20118,8643,0.03424793717069291,0.028346638898530604,0.006793315568475997,-0.005901298272162306,0.0005140693161716434
disability,N,Y,25990,2771,0.031781454405540595,0.03897509924215085,-0.0031602194910374665,0.007193644836610252,0.001961601902682561
imd,advantaged,disadvantaged,12822,14892,0.026828887849009515,0.0381412839108246,-0.002922089113814516,0.011312396061815087,0.004119167215628135
