attribute,privileged,unprivileged,n_priv,n_unpriv,recall_priv,recall_unpriv,SPD,EOD,AOD
gender,M,F,16011,12750,0.03947286240709512,0.04094117647058824,0.001282598240228694,0.0014683140634931188,0.0013723433215011432
age_band,0-35,35+,20118,8643,0.042250720747589225,0.0351729723475645,0.006904677762160236,-0.0070777484000247234,-1.2101596080695692e-05
disability,N,Y,25990,2771,0.03966910350134667,0.04438830747022735,-0.0033226077186218617,0.004719203968880682,0.0006556659852244677
imd,advantaged,disadvantaged,12822,14892,0.03400405552955857,0.04599785119527263,-0.002880500425417945,0.011993795665714062,0.004477752630004883
