attribute,privileged,unprivileged,n_priv,n_unpriv,recall_priv,recall_unpriv,SPD,EOD,AOD
gender,M,F,16011,12750,0.035850352882393355,0.0371764705882353,0.0013003095601401699,0.001326117705841942,0.001310358136871085
age_band,0-35,35+,20118,8643,0.03867183616661696,0.031239153071850052,0.006670555743308805,-0.007432683094766905,-0.00030579335604564994
disability,N,Y,25990,2771,0.035821469796075416,0.04222302417899675,-0.003065088616046062,0.006401554382921337,0.0016179715799227862
imd,advantaged,disadvantaged,12822,14892,0.031118390266729058,0.041633091592801506,-0.002871646791588661,0.010514701326072448,0.0037502244915654445
