attribute,privileged,unprivileged,n_priv,n_unpriv,recall_priv,recall_unpriv,SPD,EOD,AOD
gender,M,F,273,227,0.03296703296703297,0.02643171806167401,0.0014143798872650742,-0.006535314905358958,-0.0025233480018556267
age_band,0-35,35+,352,148,0.03125,0.02702702702702703,0.007302871928746388,-0.0042229729729729715,0.0015997913614439717
disability,N,Y,453,47,0.03090507726269316,0.02127659574468085,-0.012814827029642296,-0.009628481518012308,-0.0112399662410637
imd,advantaged,disadvantaged,227,258,0.022026431718061675,0.03875968992248062,0.0013602518197205551,0.016733258204418944,0.008966514970368803
