label_a,label_b,n_pairs,a_only,b_only,both,neither,n_discordant,statistic,p_value,recall_a,recall_b
cf,sasrec,28761,266,228,941,27326,494,2.7712550607287447,0.09597088613776882,0.041966551927958,0.04064531831299329
sasrec,sasrec_fair_lam1.0,28761,435,128,734,27464,563,166.31616341030195,4.718497164644221e-38,0.04064531831299329,0.029971141476304718
sasrec,sasrec_rerank_a0.7,28761,198,64,971,27528,262,67.51526717557252,2.0906192771476988e-16,0.04064531831299329,0.03598623135495984
