attribute,privileged,unprivileged,n_priv,n_unpriv,recall_priv,recall_unpriv,SPD,EOD,AOD
gender,M,F,16011,12750,0.03485103991006183,0.03615686274509804,0.0012926250624000005,0.001305822835036205,0.0012962735993131379
age_band,0-35,35+,20118,8643,0.03747887463962621,0.03066065023718616,0.006809517392115341,-0.006818224402440048,6.846624281703524e-05
disability,N,Y,25990,2771,0.0348595613697576,0.040779501984843015,-0.0032148566089539796,0.005919940615085419,0.0013039453495184254
imd,advantaged,disadvantaged,12822,14892,0.030572453595382937,0.040290088638195005,-0.0029454326298951478,0.009717635042812069,0.0033185374129925185
