attribute,privileged,unprivileged,n_priv,n_unpriv,recall_priv,recall_unpriv,SPD,EOD,AOD
gender,M,F,272,228,0.025735294117647058,0.03070175438596491,-0.0028988927413013746,0.004966460268317853,0.000985182538058283
age_band,0-35,35+,364,136,0.027472527472527472,0.029411764705882353,0.002517116947330887,0.0019392372333548805,0.0022306505619697978
disability,N,Y,454,46,0.028634361233480177,0.021739130434782608,-0.013755840173773945,-0.006895230798697569,-0.010365219939775756
imd,advantaged,disadvantaged,233,247,0.02145922746781116,0.03643724696356275,0.0005088531452552975,0.014978019495751591,0.007667351221700756
