attribute,group_value,n,recall,ndcg,mrr
gender,F,226,0.048672566371681415,0.023323361845823082,0.015423514538558787
gender,M,274,0.040145985401459854,0.019892630456302518,0.01408006024794346
gender,__GAP(max-min)__,500,0.008526580970221562,0.0034307313895205645,0.0013434542906153278
age_band,0-35,362,0.03867403314917127,0.017993091176657733,0.01187626063316671
age_band,35-55,134,0.05970149253731343,0.03140419041964781,0.022719734660033165
age_band,55<=,4,0.0,0.0,0.0
age_band,__GAP(max-min)__,500,0.05970149253731343,0.03140419041964781,0.022719734660033165
disability,N,450,0.042222222222222223,0.020193993762634647,0.013532627865961199
disability,Y,50,0.06,0.03268726657994629,0.02507936507936508
disability,__GAP(max-min)__,500,0.017777777777777774,0.012493272817311645,0.011546737213403881
imd_binary,advantaged,221,0.05429864253393665,0.022119516219869587,0.012473963944552179
imd_binary,disadvantaged,260,0.03461538461538462,0.020008914169308733,0.01571886446886447
imd_binary,unknown,19,0.05263157894736842,0.03320682913533987,0.02631578947368421
imd_binary,__GAP(max-min)__,500,0.019683257918552036,0.013197914966031139,0.01384182552913203
